GPS_lon,GPS_lat,pH
136.7604202715973,35.73223169676065,5.00859
136.76135023691438,35.732231730413915,3.87849
136.7641401023817,35.73223173590282,4.05628
136.7650699030767,35.732231671565685,5.18363
136.7678597774402,35.732231706658666,4.33865
136.76971971766494,35.732231719166165,4.23158
136.77064962936436,35.732231701619675,3.24199
136.77157955255655,35.73223169766047,3.48578
136.7734394365388,35.73223170602879,4.74368
136.77436936422816,35.73223170107978,4.97716
136.77715916123267,35.732231692801435,4.03553
136.7780890824793,35.73223167804439,3.71232
136.77994898308805,35.732231685332934,3.7935
136.780879004362,35.732231735003,4.60104
136.78552864916827,35.732231702879425,5.17104
136.78645856519495,35.7322316765147,4.77124
136.78738856495065,35.732231717906416,5.03773
136.78831844536808,35.73223168569286,5.04961
136.78924842458846,35.732231710617874,4.00292
136.79017832582502,35.73223168002399,5.60307
136.79110836485157,35.73223173068386,5.66518
136.79203818795182,35.73223167534493,5.5446
136.79389810041067,35.732231686052785,4.78439
136.7948280949655,35.73223171223755,5.1214
136.75892891608308,35.73298786583683,4.93916
136.75985891768536,35.73298787771446,4.28266
136.76078883737281,35.73298786547691,3.3716
136.76171879071774,35.73298787915417,4.08701
136.76264871994766,35.73298787105579,4.43588
136.76450866030302,35.73298788347331,5.13835
136.76543858134988,35.73298786403719,4.62291
136.7700883753498,35.73298789211158,4.91355
136.77287822427587,35.73298788356329,4.20445
136.77380803874033,35.73298782597481,3.9555
136.7765979938006,35.732987881673665,4.54437
136.77752785934226,35.73298784010198,4.84277
136.77845790668565,35.732987885182965,4.23499
136.7793878492529,35.73298787357528,4.75305
136.7803177274234,35.73298784928014,5.40769
136.78124769365465,35.73298784694061,4.56573
136.78217767394383,35.73298786457708,5.27431
136.7831076203416,35.73298786808638,4.95261
136.78403749829317,35.73298782723455,4.37658
136.78496750183584,35.73298785737853,5.21979
136.78589743757843,35.732987836772644,4.70547
136.78682737479826,35.73298783326335,4.85302
136.78775732318718,35.732987826334735,4.05826
136.7896173096827,35.73298788365327,5.38361
136.79147710951978,35.732987837582485,5.26837
136.7924071603579,35.732987890491906,3.91245
136.79519697076174,35.73298786241752,4.0422
136.7961269351533,35.73298788239352,5.69443
136.79705689354654,35.73298788077385,5.37567
136.76301724928584,35.73374398362327,4.55555
136.76394726194619,35.73374400233953,3.61686
136.76580723391365,35.733744032933416,5.1297
136.76673713897122,35.73374401502699,4.09304
136.76766707531377,35.73374399955009,4.03718
136.77045700068487,35.73374402582484,4.18988
136.77138698113927,35.73374403545291,4.65948
136.77231691278826,35.73374403032393,4.52455
136.7732468463349,35.73374399073185,3.81664
136.77417683970432,35.733744028434316,4.81692
136.77603677990945,35.7337440295141,4.62141
136.77789665080277,35.733744007828435,4.64885
136.77975654486397,35.733744008008394,4.65813
136.78068659476358,35.733744040671866,5.27028
136.78254646885557,35.73374401601679,5.30657
136.78347637170953,35.73374400539892,4.22251
136.7844062902769,35.73374397912418,4.28613
136.7871961753685,35.733743979304144,5.03672
136.7918460597057,35.7337440314937,3.94138
136.79556589681198,35.73374404220156,5.25849
136.79742574048856,35.733743995590885,4.81671
136.76245599049764,35.734500170605884,5.34818
136.76338597438001,35.7345001904919,4.14447
136.7643158974464,35.73450016394721,4.15545
136.7652458645398,35.73450015143971,3.66472
136.7661757983848,35.734500129754046,3.97506
136.76710578381716,35.73450013443311,4.86754
136.76896578590012,35.73450017195561,4.39206
136.7698957461364,35.73450016853629,4.95265
136.7717557013962,35.734500183563284,3.44815
136.77361555886083,35.73450015485903,3.59523
136.7745455193621,35.73450014631074,3.67106
136.7764055135478,35.73450017852429,4.0434
136.7773355215972,35.734500194631075,4.23264
136.77826539263822,35.7345001490102,4.47665
136.78012535128968,35.73450016304739,4.87083
136.78105537700063,35.73450018473305,4.77504
