GPS_lon,GPS_lat,pH
136.75763039225802,35.73223167120575,4.22512
136.7585603995391,35.73223172375525,4.27926
136.76042026567805,35.732231698920216,3.97208
136.7622801197194,35.7322316865027,3.9557
136.76321006769453,35.732231703419316,3.80146
136.76507001037197,35.732231731403715,3.82176
136.76599985303258,35.73223168119376,2.8375
136.7669297968109,35.73223168155369,2.88421
136.7697196378802,35.73223168353329,2.99099
136.77064961539585,35.73223169226154,1.81095
136.77529925894513,35.732231669586085,2.59337
136.77622924303571,35.732231698380325,3.83662
136.7771591506361,35.73223167129574,3.04247
136.7799489959808,35.732231677504494,2.89967
136.7836687705157,35.73223169523096,4.38352
136.7864585675667,35.732231686142775,4.17498
136.78924841975658,35.73223169118176,3.39865
136.79017837427375,35.73223170107978,5.16282
136.79110836012006,35.73223173482303,5.21037
136.79203824888023,35.73223170791842,5.17649
136.79296820587643,35.732231717906416,4.26101
136.79482807974162,35.73223171142771,4.85766
136.75985880038442,35.73298782822435,3.22871
136.76078880977855,35.7329878544991,2.38282
136.76450855437184,35.732987829844035,4.13338
136.76729844254007,35.73298784073185,2.09458
136.76822844903666,35.732987877174565,2.62323
136.7691583349708,35.73298783974206,3.21134
136.7710182573977,35.732987847390525,2.73077
136.77194825439398,35.732987885452914,2.33638
136.77473803725198,35.73298785170966,2.80674
136.77566798493532,35.73298785467907,2.33759
136.77659792213174,35.732987841361734,3.46367
136.7775279307126,35.73298787276545,3.8377
136.7793878564555,35.73298787654469,3.83487
136.78031782648168,35.732987887432515,4.46049
136.78124770967764,35.73298786799641,3.6071
136.78217757606006,35.73298782066587,4.32284
136.7840375051239,35.73298783443312,3.63816
136.78496748692288,35.73298785629874,4.41358
136.78589747630676,35.732987879874024,3.93914
136.78682740107075,35.732987859448116,4.2703
136.78868726519752,35.73298784694061,4.4217
136.78961731474894,35.7329878895021,4.87514
136.79147719451905,35.73298788887223,4.84296
136.7924070876306,35.7329878580084,3.52295
136.79426700936412,35.73298786808638,4.68763
136.76022745066214,35.73374401916617,3.02815
136.7630172872729,35.73374398209358,3.58197
136.76394725158184,35.73374398380324,2.4886
136.7648772791292,35.733744039412116,3.73108
136.7658072325628,35.73374404310138,4.07024
136.76673719049458,35.73374403059388,3.08932
136.76766705919235,35.73374399145171,2.72478
136.7685970595902,35.73374401565687,2.76421
136.7695269676324,35.73374398821236,2.61318
